clean_name,season,position,games,fantasy_points_ppr,targets,carries,receiving_yards,rushing_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,recent_team,player_name,player_key,avg_fantasy_points_3yr,avg_targets_3yr,avg_carries_3yr,performance_trend_pct,consistency_score,seasons_played,total_games,avg_opportunity,total_touches,yards_per_touch,passing_efficiency,catch_rate,yards_per_target,points_per_game,opportunity_share
DAVID BLOUGH,2022,QB,2,18.58,0,4,0.0,5.0,0,0,0,402.0,2,2.0,ARI,David Blough,DAVID BLOUGH_QB,18.579999923706055,0.0,4.0,0.0,0.0,1,2,4.0,0.0,0.0,4.975124378109452,0.0,0.0,9.289999961853027,4
DAVID JOHNSON,2022,RB,4,9.1,4,12,47.0,24.0,4,0,0,0.0,0,0.0,NO,David Johnson,DAVID JOHNSON_RB,9.100000381469727,4.0,12.0,0.0,0.0,1,4,16.0,16.0,4.4375,0.0,0.0,0.0,2.2750000953674316,16
DAVID MARTINROBINSON,2024,TE,2,1.6,2,0,6.0,0.0,1,0,0,0.0,0,0.0,TEN,David Martin-Robinson,DAVID MARTINROBINSON_TE,1.600000023841858,2.0,0.0,0.0,0.0,1,2,2.0,0.0,0.0,0.0,0.5,3.0,0.800000011920929,2
DAVID MONTGOMERY,2023,RB,17,248.0,31,258,162.0,1198.0,22,0,15,0.0,0,0.0,DET,David Montgomery,DAVID MONTGOMERY_RB,212.85000610351562,35.5,229.5,39.56106185913086,4.2818684577941895,2,33,265.0,289.0,4.705882549285889,0.0,0.0,0.0,14.588235294117647,289
DAVID MONTGOMERY,2024,QB,15,225.31999,38,192,341.0,803.0,36,0,12,23.0,1,0.0,DET,David Montgomery,DAVID MONTGOMERY_QB,225.3199920654297,38.0,192.0,0.0,0.0,1,15,230.0,0.0,0.0,43.47826086956522,0.0,0.0,15.021332804361979,230
DAVID MOORE,2024,WR,14,85.1,57,1,351.0,0.0,32,3,0,0.0,0,0.0,CAR,David Moore,DAVID MOORE_WR,61.099998474121094,34.0,0.5,129.38003540039062,1.8001760244369507,2,22,34.5,0.0,0.0,0.0,0.5614035087719298,6.157894736842105,6.078571319580078,58
DAVID NJOKU,2024,WR,11,148.5,97,0,505.0,0.0,64,5,0,0.0,0,0.0,CLE,David Njoku,DAVID NJOKU_WR,169.3333282470703,103.66666666666667,0.6666666666666666,-31.724136352539062,4.047166347503662,3,42,104.33333333333334,0.0,0.0,0.0,0.6597938144329897,5.206185567010309,13.5,97
DAVID SILLS,2022,WR,7,21.6,17,0,106.0,0.0,11,0,0,0.0,0,0.0,NYG,David Sills,DAVID SILLS_WR,21.600000381469727,17.0,0.0,0.0,0.0,1,7,17.0,0.0,0.0,0.0,0.6470588235294118,6.235294117647059,3.085714340209961,17
DAVID WELLS,2023,TE,1,1.0,2,0,-10.0,0.0,2,0,0,0.0,0,0.0,TB,David Wells,DAVID WELLS_TE,1.0,2.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,0.0,1.0,-5.0,1.0,2
DAVIS ALLEN,2024,TE,7,18.2,15,0,52.0,0.0,7,1,0,0.0,0,0.0,LA,Davis Allen,DAVIS ALLEN_TE,24.25,14.0,0.0,-39.93399429321289,2.83427095413208,2,12,14.0,0.0,0.0,0.0,0.4666666666666667,3.466666666666667,2.6000001089913503,15
DAVIS MILLS,2024,QB,4,9.58,0,3,0.0,11.0,0,0,0,212.0,0,0.0,HOU,Davis Mills,DAVIS MILLS_QB,69.586669921875,0.0,13.333333333333334,-45.753116607666016,0.7172311544418335,3,25,13.333333333333334,0.0,0.0,0.0,0.0,0.0,2.3949999809265137,3
DAVIS WEBB,2022,QB,1,20.82,0,6,0.0,41.0,0,0,1,168.0,1,0.0,NYG,Davis Webb,DAVIS WEBB_QB,20.81999969482422,0.0,6.0,0.0,0.0,1,1,6.0,0.0,0.0,5.952380952380952,0.0,0.0,20.81999969482422,6
DAWSON KNOX,2022,WR,17,158.2,77,0,602.0,0.0,56,7,0,0.0,0,0.0,BUF,Dawson Knox,DAWSON KNOX_WR,158.1999969482422,77.0,0.0,0.0,0.0,1,17,77.0,0.0,0.0,0.0,0.7272727272727273,7.818181818181818,9.305882173426012,77
DAWSON KNOX,2024,TE,17,67.6,39,0,356.0,0.0,26,1,0,0.0,0,0.0,BUF,Dawson Knox,DAWSON KNOX_TE,65.75,39.0,0.0,5.790298938751221,25.130952835083008,2,29,39.0,0.0,0.0,0.0,0.6666666666666666,9.128205128205128,3.9764704984777115,39
DAX MILNE,2022,WR,7,15.7,7,0,37.0,0.0,6,1,0,0.0,0,0.0,WAS,Dax Milne,DAX MILNE_WR,15.699999809265137,7.0,0.0,0.0,0.0,1,7,7.0,0.0,0.0,0.0,0.8571428571428571,5.285714285714286,2.242857115609305,7
DAYLEN BALDWIN,2022,WR,1,4.5,2,0,25.0,0.0,2,0,0,0.0,0,0.0,CLE,Daylen Baldwin,DAYLEN BALDWIN_WR,4.5,2.0,0.0,0.0,0.0,1,1,2.0,0.0,0.0,0.0,1.0,12.5,4.5,2
DEANDRE CARTER,2024,WR,5,16.199999,14,0,72.0,0.0,9,0,0,0.0,0,0.0,CHI,DeAndre Carter,DEANDRE CARTER_WR,47.9666633605957,29.666666666666668,1.6666666666666667,67.01029968261719,0.7897351384162903,3,30,31.333333333333336,0.0,0.0,0.0,0.6428571428571429,5.142857142857143,3.239999771118164,14
DEANDRE HOPKINS,2024,WR,19,160.9,88,0,639.0,0.0,59,6,0,0.0,0,0.0,KC,DeAndre Hopkins,DEANDRE HOPKINS_WR,178.7333221435547,107.0,0.6666666666666666,-28.041149139404297,4.568027973175049,3,45,107.66666666666667,0.0,0.0,0.0,0.6704545454545454,7.261363636363637,8.468420731393914,88
DEE ESKRIDGE,2023,WR,3,0.5,1,2,0.0,5.0,0,0,0,0.0,0,0.0,SEA,Dee Eskridge,DEE ESKRIDGE_WR,0.5,1.0,2.0,0.0,0.0,1,3,3.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,3
DEEBO SAMUEL,2022,RB,16,209.90001,116,55,843.0,266.0,69,3,3,0.0,0,0.0,SF,Deebo Samuel,DEEBO SAMUEL_RB,209.90000915527344,116.0,55.0,0.0,0.0,1,16,171.0,171.0,6.485380172729492,0.0,0.0,0.0,13.11875057220459,171
DEEBO SAMUEL,2024,WR,14,155.6,81,42,670.0,136.0,51,3,1,0.0,0,0.0,SF,Deebo Samuel,DEEBO SAMUEL_WR,214.1999969482422,96.0,42.5,-42.96187210083008,2.5846807956695557,2,32,138.5,0.0,0.0,0.0,0.6296296296296297,8.271604938271604,11.114286150251116,123
DEEJAY DALLAS,2024,RB,7,21.0,3,9,11.0,49.0,3,1,0,0.0,0,0.0,ARI,DeeJay Dallas,DEEJAY DALLAS_RB,26.899999618530273,10.333333333333334,20.0,72.13114929199219,1.4639686346054077,3,29,30.333333333333336,12.0,5.0,0.0,0.0,0.0,3.0,12
DEMARCUS ROBINSON,2024,WR,19,137.2,73,0,602.0,0.0,35,7,0,0.0,0,0.0,LA,Demarcus Robinson,DEMARCUS ROBINSON_WR,116.23333740234375,65.33333333333333,0.3333333333333333,44.725730895996094,5.481709003448486,3,45,65.66666666666666,0.0,0.0,0.0,0.4794520547945205,8.246575342465754,7.221052470960115,73
DEMARIO DOUGLAS,2024,WR,16,147.7,87,3,621.0,16.0,66,3,0,0.0,0,0.0,NE,Demario Douglas,DEMARIO DOUGLAS_WR,127.44999694824219,83.0,5.5,37.77985382080078,4.4504075050354,2,30,88.5,0.0,0.0,0.0,0.7586206896551724,7.137931034482759,9.231249809265137,90
DEMETRIC FELTON,2022,RB,4,2.4,4,1,8.0,-4.0,2,0,0,0.0,0,0.0,CLE,Demetric Felton,DEMETRIC FELTON_RB,2.4000000953674316,4.0,1.0,0.0,0.0,1,4,5.0,5.0,0.800000011920929,0.0,0.0,0.0,0.6000000238418579,5
DENNIS HOUSTON,2022,WR,2,3.6,6,0,16.0,0.0,2,0,0,0.0,0,0.0,DAL,Dennis Houston,DENNIS HOUSTON_WR,3.5999999046325684,6.0,0.0,0.0,0.0,1,2,6.0,0.0,0.0,0.0,0.3333333333333333,2.6666666666666665,1.7999999523162842,6
DENZEL MIMS,2022,WR,9,29.6,25,0,186.0,0.0,11,0,0,0.0,0,0.0,NYJ,Denzel Mims,DENZEL MIMS_WR,29.600000381469727,25.0,0.0,0.0,0.0,1,9,25.0,0.0,0.0,0.0,0.44,7.44,3.288888931274414,25
DEON JACKSON,2023,RB,2,4.0,6,14,14.0,16.0,5,0,0,0.0,0,0.0,NYG,Deon Jackson,DEON JACKSON_RB,44.25,20.0,41.0,-95.26627349853516,0.777378261089325,2,14,61.0,20.0,1.5,0.0,0.0,0.0,2.0,20
DEONTE HARTY,2023,WR,14,47.7,23,4,187.0,0.0,17,1,0,0.0,0,0.0,BUF,Deonte Harty,DEONTE HARTY_WR,25.5,12.5,2.0,1345.45458984375,0.8122172355651855,2,16,14.5,0.0,0.0,0.0,0.7391304347826086,8.130434782608695,3.4071429116385326,27
DEREK CARR,2024,QB,10,150.9,0,17,0.0,71.0,0,0,1,2145.0,15,5.0,NO,Derek Carr,DEREK CARR_QB,203.6999969482422,0.0,24.333333333333332,-37.41705322265625,4.330788612365723,3,42,24.333333333333332,0.0,0.0,6.993006993006993,0.0,0.0,15.089999389648437,17
DEREK WATT,2022,RB,10,20.2,5,9,11.0,21.0,5,1,1,0.0,0,0.0,PIT,Derek Watt,DEREK WATT_RB,20.200000762939453,5.0,9.0,0.0,0.0,1,10,14.0,14.0,2.2857143878936768,0.0,0.0,0.0,2.0200000762939454,14
DERIUS DAVIS,2024,WR,12,41.2,18,13,116.0,36.0,14,2,0,0.0,0,0.0,LAC,Derius Davis,DERIUS DAVIS_WR,39.45000076293945,17.5,13.5,9.283820152282715,15.940207481384277,2,26,31.0,0.0,0.0,0.0,0.7777777777777778,6.444444444444445,3.433333396911621,31
DERNEST JOHNSON,2024,RB,12,35.9,19,32,96.0,143.0,12,0,0,0.0,0,0.0,JAX,D'Ernest Johnson,DERNEST JOHNSON_RB,25.366668701171875,11.333333333333334,25.666666666666668,3.160926342010498,1.466248631477356,3,30,37.0,51.0,4.686274528503418,0.0,0.0,0.0,2.991666793823242,51
DERRICK GORE,2023,RB,2,2.6,0,3,0.0,26.0,0,0,0,0.0,0,0.0,WAS,Derrick Gore,DERRICK GORE_RB,2.5999999046325684,0.0,3.0,0.0,0.0,1,2,3.0,3.0,8.666666984558105,0.0,0.0,0.0,1.2999999523162842,3
DERRICK HENRY,2023,QB,17,246.66,36,280,214.0,1167.0,28,0,12,14.0,2,0.0,TEN,Derrick Henry,DERRICK HENRY_QB,274.71002197265625,38.5,314.5,-18.529529571533203,6.925108909606934,2,33,353.0,0.0,0.0,142.85714285714286,0.0,0.0,14.509411980124082,316
DERRICK HENRY,2024,RB,19,381.4,24,367,193.0,2191.0,19,2,19,0.0,0,0.0,BAL,Derrick Henry,DERRICK HENRY_RB,381.3999938964844,24.0,367.0,0.0,0.0,1,19,391.0,391.0,6.09718656539917,0.0,0.0,0.0,20.073683889288652,391
DESEAN JACKSON,2022,WR,7,24.3,17,0,153.0,0.0,9,0,0,0.0,0,0.0,BAL,DeSean Jackson,DESEAN JACKSON_WR,24.299999237060547,17.0,0.0,0.0,0.0,1,7,17.0,0.0,0.0,0.0,0.5294117647058824,9.0,3.471428462437221,17
DESHAUN WATSON,2024,QB,7,76.72,0,31,0.0,148.0,0,0,1,1148.0,5,3.0,CLE,Deshaun Watson,DESHAUN WATSON_QB,83.03333282470703,0.0,31.0,-11.61290454864502,15.093042373657227,3,19,31.0,0.0,0.0,4.355400696864112,0.0,0.0,10.960000174386161,31
DESMOND RIDDER,2024,QB,5,21.92,0,9,0.0,36.0,0,0,0,458.0,2,2.0,LV,Desmond Ridder,DESMOND RIDDER_QB,80.59333038330078,0.3333333333333333,26.0,-87.89886474609375,0.9212751388549805,3,24,26.333333333333332,0.0,0.0,4.366812227074235,0.0,0.0,4.384000015258789,9
DEUCE VAUGHN,2024,RB,5,11.8,5,17,18.0,70.0,3,0,0,0.0,0,0.0,DAL,Deuce Vaughn,DEUCE VAUGHN_RB,13.399999618530273,6.0,20.0,-21.333332061767578,5.9220194816589355,2,11,26.0,22.0,4.0,0.0,0.0,0.0,2.3600000381469726,22
DEVANTE PARKER,2023,WR,13,72.4,55,0,394.0,0.0,33,0,0,0.0,0,0.0,NE,DeVante Parker,DEVANTE PARKER_WR,87.6500015258789,51.0,0.0,-29.640426635742188,4.064125061035156,2,25,51.0,0.0,0.0,0.0,0.6,7.163636363636364,5.56923088660607,55
DEVAUGHN VELE,2024,WR,14,106.5,57,0,475.0,0.0,41,3,0,0.0,0,0.0,DEN,Devaughn Vele,DEVAUGHN VELE_WR,106.5,57.0,0.0,0.0,0.0,1,14,57.0,0.0,0.0,0.0,0.7192982456140351,8.333333333333334,7.607142857142857,57
DEVEN THOMPKINS,2024,WR,4,6.7000003,4,2,20.0,7.0,4,0,0,0.0,0,0.0,CAR,Deven Thompkins,DEVEN THOMPKINS_WR,18.266666412353516,13.666666666666666,4.333333333333333,-82.03752899169922,1.0997166633605957,3,20,18.0,0.0,0.0,0.0,1.0,5.0,1.6750000715255737,6
DEVIN ASIASI,2022,TE,3,2.5,4,0,5.0,0.0,2,0,0,0.0,0,0.0,CIN,Devin Asiasi,DEVIN ASIASI_TE,2.5,4.0,0.0,0.0,0.0,1,3,4.0,0.0,0.0,0.0,0.5,1.25,0.8333333333333334,4
DEVIN CULP,2024,TE,2,13.799999,6,0,88.0,0.0,5,0,0,0.0,0,0.0,TB,Devin Culp,DEVIN CULP_TE,13.799999237060547,6.0,0.0,0.0,0.0,1,2,6.0,0.0,0.0,0.0,0.8333333333333334,14.666666666666666,6.899999618530273,6
DEVIN DUVERNAY,2024,WR,10,19.2,16,4,79.0,3.0,11,0,0,0.0,0,0.0,JAX,Devin Duvernay,DEVIN DUVERNAY_WR,47.5333366394043,24.666666666666668,6.666666666666667,163.01370239257812,0.7964991331100464,3,30,31.333333333333336,0.0,0.0,0.0,0.6875,4.9375,1.9200000762939453,20
DEVIN SINGLETARY,2024,RB,15,96.6,24,113,119.0,437.0,21,0,4,0.0,0,0.0,NYG,Devin Singletary,DEVIN SINGLETARY_RB,145.25,42.0,153.0,-50.18050765991211,2.1111464500427246,2,33,195.0,137.0,4.058393955230713,0.0,0.0,0.0,6.439999898274739,137
DEVIN SINGLETARY,2023,QB,19,195.34,47,238,245.0,986.0,38,0,5,6.0,1,0.0,HOU,Devin Singletary,DEVIN SINGLETARY_QB,195.33999633789062,47.0,238.0,0.0,0.0,1,19,285.0,0.0,0.0,166.66666666666666,0.0,0.0,10.28105243883635,285
DEVINE OZIGBO,2023,RB,1,2.3,1,3,8.0,5.0,1,0,0,0.0,0,0.0,DET,Devine Ozigbo,DEVINE OZIGBO_RB,2.0,1.0,3.0,35.29410934448242,4.714046001434326,2,4,4.0,4.0,3.25,0.0,0.0,0.0,2.299999952316284,4
DEVON ACHANE,2024,RB,17,299.9,87,203,592.0,907.0,78,6,6,0.0,0,0.0,MIA,Devon Achane,DEVON ACHANE_RB,248.29998779296875,65.0,156.0,52.46568298339844,3.402608633041382,2,29,221.0,290.0,5.1689653396606445,0.0,0.0,0.0,17.641176111557904,290
DEVONTA SMITH,2024,WR,17,240.4,106,1,1023.0,1.0,84,9,0,0.0,0,0.0,PHI,DeVonta Smith,DEVONTA SMITH_WR,262.0333251953125,129.33333333333334,0.3333333333333333,-3.993610382080078,8.961334228515625,3,54,129.66666666666669,0.0,0.0,0.0,0.7924528301886793,9.650943396226415,14.141176111557904,107
DEVONTEZ WALKER,2024,WR,2,9.1,3,0,21.0,0.0,1,1,0,0.0,0,0.0,BAL,Devontez Walker,DEVONTEZ WALKER_WR,9.100000381469727,3.0,0.0,0.0,0.0,1,2,3.0,0.0,0.0,0.0,0.3333333333333333,7.0,4.550000190734863,3
DEZMON PATMON,2022,WR,1,4.4,6,0,24.0,0.0,2,0,0,0.0,0,0.0,IND,Dezmon Patmon,DEZMON PATMON_WR,4.400000095367432,6.0,0.0,0.0,0.0,1,1,6.0,0.0,0.0,0.0,0.3333333333333333,4.0,4.400000095367432,6
DIONTAE JOHNSON,2024,WR,12,91.299995,68,2,387.0,6.0,34,3,0,0.0,0,0.0,HOU,Diontae Johnson,DIONTAE JOHNSON_WR,146.5,103.0,3.0,-45.49253845214844,3.0357625484466553,3,43,106.0,0.0,0.0,0.0,0.5,5.6911764705882355,7.6083329518636065,70
DJ CHARK,2024,WR,5,15.1,14,0,41.0,0.0,5,1,0,0.0,0,0.0,LAC,D.J. Chark,DJ CHARK_WR,76.26667022705078,44.0,0.0,-86.92640686035156,1.420937418937683,3,30,44.0,0.0,0.0,0.0,0.35714285714285715,2.9285714285714284,3.0200000762939454,14
DJ MONTGOMERY,2023,WR,2,14.6,8,0,56.0,0.0,3,1,0,0.0,0,0.0,IND,D.J. Montgomery,DJ MONTGOMERY_WR,14.600000381469727,8.0,0.0,0.0,0.0,1,2,8.0,0.0,0.0,0.0,0.375,7.0,7.300000190734863,8
DJ MOORE,2024,WR,17,238.1,140,14,966.0,75.0,98,6,0,0.0,0,0.0,CHI,D.J. Moore,DJ MOORE_WR,241.23333740234375,131.33333333333334,9.333333333333334,-16.893539428710938,5.5096025466918945,3,51,140.66666666666669,0.0,0.0,0.0,0.7,6.9,14.005882711971507,154
DJ TURNER,2024,WR,10,47.1,29,5,158.0,33.0,16,1,1,0.0,0,0.0,LV,D.J. Turner,DJ TURNER_WR,24.849998474121094,15.0,4.5,1711.5384521484375,0.789734959602356,2,12,19.5,0.0,0.0,0.0,0.5517241379310345,5.448275862068965,4.709999847412109,34
DK METCALF,2024,WR,15,191.2,108,0,992.0,0.0,66,5,0,0.0,0,0.0,SEA,DK Metcalf,DK METCALF_WR,226.3333282470703,127.0,0.0,-15.173025131225586,6.356040000915527,3,49,127.0,0.0,0.0,0.0,0.6111111111111112,9.185185185185185,12.746666463216146,108
DONALD PARHAM,2023,TE,13,79.5,41,0,285.0,0.0,27,4,0,0.0,0,0.0,LAC,Donald Parham,DONALD PARHAM_TE,57.400001525878906,29.0,0.0,125.21246337890625,1.8365578651428223,2,20,29.0,0.0,0.0,0.0,0.6585365853658537,6.951219512195122,6.115384615384615,41
DONOVAN PEOPLESJONES,2023,WR,12,28.5,25,0,155.0,0.0,13,0,0,0.0,0,0.0,DET,Donovan Peoples-Jones,DONOVAN PEOPLESJONES_WR,97.80000305175781,60.5,0.5,-82.94434356689453,0.9979082345962524,2,29,61.0,0.0,0.0,0.0,0.52,6.2,2.375,25
DONTA FOREMAN,2024,RB,10,32.6,8,71,54.0,232.0,6,0,0,0.0,0,0.0,CLE,D'Onta Foreman,DONTA FOREMAN_RB,84.9333267211914,11.0,127.66666666666667,-64.25438690185547,1.7158795595169067,3,35,138.66666666666669,79.0,3.620253086090088,0.0,0.0,0.0,3.2599998474121095,79
DONTAYVION WICKS,2024,WR,18,116.4,82,0,454.0,0.0,41,5,0,0.0,0,0.0,GB,Dontayvion Wicks,DONTAYVION WICKS_WR,123.33000183105469,72.0,0.5,-10.640253067016602,12.584057807922363,2,35,72.5,0.0,0.0,0.0,0.5,5.536585365853658,6.466666751437717,82
DONTRELL HILLIARD,2022,RB,11,77.2,26,22,177.0,145.0,21,4,0,0.0,0,0.0,TEN,Dontrell Hilliard,DONTRELL HILLIARD_RB,77.19999694824219,26.0,22.0,0.0,0.0,1,11,48.0,48.0,6.708333492279053,0.0,0.0,0.0,7.01818154074929,48
DORIAN THOMPSONROBINSON,2024,QB,6,15.8,0,21,0.0,122.0,0,0,0,440.0,0,6.0,CLE,Dorian Thompson-Robinson,DORIAN THOMPSONROBINSON_QB,18.950000762939453,0.0,17.5,-28.50678825378418,4.253864765167236,2,13,17.5,0.0,0.0,0.0,0.0,0.0,2.633333365122477,21
DRAKE LONDON,2024,WR,17,280.8,158,1,1271.0,-3.0,100,9,0,0.0,0,0.0,ATL,Drake London,DRAKE LONDON_WR,211.260009765625,128.33333333333334,0.3333333333333333,61.02762985229492,3.5057880878448486,3,50,128.66666666666669,0.0,0.0,0.0,0.6329113924050633,8.044303797468354,16.517646340762866,159
DRAKE MAYE,2024,QB,13,177.14,0,54,0.0,421.0,0,0,2,2276.0,15,10.0,NE,Drake Maye,DRAKE MAYE_QB,177.13999938964844,0.0,54.0,0.0,0.0,1,13,54.0,0.0,0.0,6.590509666080844,0.0,0.0,13.626153799203726,54
DREW LOCK,2024,QB,7,80.14,0,18,0.0,133.0,0,0,2,1071.0,6,5.0,NYG,Drew Lock,DREW LOCK_QB,54.62999725341797,0.0,11.5,175.2060546875,1.5142784118652344,2,11,11.5,0.0,0.0,5.602240896358543,0.0,0.0,11.448571341378349,18
DREW SAMPLE,2024,TE,11,36.5,22,1,109.0,-4.0,20,1,0,0.0,0,0.0,CIN,Drew Sample,DREW SAMPLE_TE,29.53333282470703,17.0,0.3333333333333333,-27.435386657714844,1.1818408966064453,3,27,17.333333333333332,0.0,0.0,0.0,0.9090909090909091,4.954545454545454,3.3181818181818183,23
DUKE JOHNSON,2022,RB,1,0.4,0,2,0.0,4.0,0,0,0,0.0,0,0.0,BUF,Duke Johnson,DUKE JOHNSON_RB,0.4000000059604645,0.0,2.0,0.0,0.0,1,1,2.0,2.0,2.0,0.0,0.0,0.0,0.4000000059604645,2
DURHAM SMYTHE,2024,TE,13,14.299999,17,0,53.0,0.0,9,0,0,0.0,0,0.0,MIA,Durham Smythe,DURHAM SMYTHE_TE,44.366668701171875,28.333333333333332,0.6666666666666666,-81.13456726074219,1.4417507648468018,3,40,29.0,0.0,0.0,0.0,0.5294117647058824,3.1176470588235294,1.0999999413123498,17
DWAYNE ESKRIDGE,2024,WR,3,7.4,3,0,44.0,0.0,3,0,0,0.0,0,0.0,MIA,D'Wayne Eskridge,DWAYNE ESKRIDGE_WR,10.600000381469727,8.0,1.0,-46.37681198120117,2.3422911167144775,2,11,9.0,0.0,0.0,0.0,1.0,14.666666666666666,2.4666666984558105,3
DWAYNE WASHINGTON,2022,RB,3,5.5,1,11,7.0,38.0,1,0,0,0.0,0,0.0,NO,Dwayne Washington,DWAYNE WASHINGTON_RB,5.5,1.0,11.0,0.0,0.0,1,3,12.0,12.0,3.75,0.0,0.0,0.0,1.8333333333333333,12
DYAMI BROWN,2024,WR,18,108.3,58,3,537.0,26.0,44,2,0,0.0,0,0.0,WAS,Dyami Brown,DYAMI BROWN_WR,58.68666458129883,31.666666666666668,1.6666666666666667,209.78262329101562,1.365441918373108,3,38,33.333333333333336,0.0,0.0,0.0,0.7586206896551724,9.258620689655173,6.016666836208767,61
EASTON STICK,2023,QB,5,67.56,0,27,0.0,144.0,0,0,1,1129.0,3,1.0,LAC,Easton Stick,EASTON STICK_QB,67.55999755859375,0.0,27.0,0.0,0.0,1,5,27.0,0.0,0.0,2.657218777679362,0.0,0.0,13.51199951171875,27
EJ JENKINS,2024,TE,2,7.7,2,0,7.0,0.0,1,1,0,0.0,0,0.0,PHI,E.J. Jenkins,EJ JENKINS_TE,7.699999809265137,2.0,0.0,0.0,0.0,1,2,2.0,0.0,0.0,0.0,0.5,3.5,3.8499999046325684,2
ELIJAH COOKS,2023,WR,2,6.8,4,0,38.0,0.0,3,0,0,0.0,0,0.0,JAX,Elijah Cooks,ELIJAH COOKS_WR,6.800000190734863,4.0,0.0,0.0,0.0,1,2,4.0,0.0,0.0,0.0,0.75,9.5,3.4000000953674316,4
ELIJAH DOTSON,2023,RB,1,3.9,2,4,13.0,6.0,2,0,0,0.0,0,0.0,LAC,Elijah Dotson,ELIJAH DOTSON_RB,3.9000000953674316,2.0,4.0,0.0,0.0,1,1,6.0,6.0,3.1666667461395264,0.0,0.0,0.0,3.9000000953674316,6
ELIJAH HIGGINS,2024,TE,14,49.2,24,0,172.0,0.0,20,2,0,0.0,0,0.0,ARI,Elijah Higgins,ELIJAH HIGGINS_TE,42.75,21.5,0.0,35.537193298339844,4.6866374015808105,2,23,21.5,0.0,0.0,0.0,0.8333333333333334,7.166666666666667,3.5142857687813893,24
ELIJAH MITCHELL,2023,RB,13,55.0,8,81,14.0,296.0,6,0,3,0.0,0,0.0,SF,Elijah Mitchell,ELIJAH MITCHELL_RB,57.20000076293945,7.5,74.5,-7.40740966796875,18.384769439697266,2,20,82.0,89.0,3.4831459522247314,0.0,0.0,0.0,4.230769230769231,89
ELIJAH MOORE,2024,WR,17,120.9,102,1,538.0,1.0,61,1,0,0.0,0,0.0,CLE,Elijah Moore,ELIJAH MOORE_WR,114.76666259765625,91.0,5.0,-10.643016815185547,4.744314193725586,3,48,96.0,0.0,0.0,0.0,0.5980392156862745,5.2745098039215685,7.111764795639935,103
EMANUEL WILSON,2024,RB,18,99.9,17,106,71.0,508.0,12,1,4,0.0,0,0.0,GB,Emanuel Wilson,EMANUEL WILSON_RB,60.20000076293945,11.5,66.0,387.31707763671875,1.072237491607666,2,25,77.5,123.0,4.707316875457764,0.0,0.0,0.0,5.5500000847710504,123
EMARI DEMERCADO,2024,RB,13,54.7,20,24,104.0,223.0,16,0,1,0.0,0,0.0,ARI,Emari Demercado,EMARI DEMERCADO_RB,64.0,25.0,41.0,-25.375164031982422,4.86611270904541,2,24,66.0,44.0,7.431818008422852,0.0,0.0,0.0,4.207692366379958,44
ENO BENJAMIN,2022,RB,12,89.6,34,77,193.0,313.0,25,0,2,0.0,0,0.0,NO,Eno Benjamin,ENO BENJAMIN_RB,89.5999984741211,34.0,77.0,0.0,0.0,1,12,111.0,111.0,4.558558464050293,0.0,0.0,0.0,7.466666539510091,111
EQUANIMEOUS ST BROWN,2023,WR,5,11.2,6,0,62.0,0.0,5,0,0,0.0,0,0.0,CHI,Equanimeous St. Brown,EQUANIMEOUS ST BROWN_WR,36.95000076293945,22.0,3.0,-82.13716125488281,1.0146639347076416,2,21,25.0,0.0,0.0,0.0,0.8333333333333334,10.333333333333334,2.2399999618530275,6
ERIC GRAY,2024,RB,10,19.3,11,14,82.0,31.0,10,0,0,0.0,0,0.0,NYG,Eric Gray,ERIC GRAY_RB,16.149999618530273,9.0,15.5,48.46153259277344,3.6253256797790527,2,15,24.5,25.0,4.519999980926514,0.0,0.0,0.0,1.9299999237060548,25
ERIC SAUBERT,2024,TE,8,26.699999,14,0,97.0,0.0,11,1,0,0.0,0,0.0,SF,Eric Saubert,ERIC SAUBERT_TE,22.23333168029785,13.666666666666666,0.0,535.7142944335938,1.3668060302734375,3,22,13.666666666666666,0.0,0.0,0.0,0.7857142857142857,6.928571428571429,3.3374998569488525,14
ERIC TOMLINSON,2024,TE,4,2.9,4,0,9.0,0.0,2,0,0,0.0,0,0.0,LAC,Eric Tomlinson,ERIC TOMLINSON_TE,15.90000057220459,8.5,0.0,-89.96540069580078,0.8648459911346436,2,12,8.5,0.0,0.0,0.0,0.5,2.25,0.7250000238418579,4
ERICK ALL,2024,TE,8,35.8,22,0,158.0,0.0,20,0,0,0.0,0,0.0,CIN,Erick All,ERICK ALL_TE,35.79999923706055,22.0,0.0,0.0,0.0,1,8,22.0,0.0,0.0,0.0,0.9090909090909091,7.181818181818182,4.474999904632568,22
EVAN ENGRAM,2023,WR,17,230.3,143,0,963.0,0.0,114,4,0,0.0,0,0.0,JAX,Evan Engram,EVAN ENGRAM_WR,218.8000030517578,129.0,1.0,11.09503173828125,13.453474998474121,2,36,130.0,0.0,0.0,0.0,0.7972027972027972,6.734265734265734,13.547059003044577,143
EVAN ENGRAM,2024,TE,9,89.5,64,0,365.0,0.0,47,1,0,0.0,0,0.0,JAX,Evan Engram,EVAN ENGRAM_TE,89.5,64.0,0.0,0.0,0.0,1,9,64.0,0.0,0.0,0.0,0.734375,5.703125,9.944444444444445,64
