clean_name,season,position,games,fantasy_points_ppr,targets,carries,receiving_yards,rushing_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,recent_team,player_name,player_key,avg_fantasy_points_3yr,avg_targets_3yr,avg_carries_3yr,performance_trend_pct,consistency_score,seasons_played,total_games,avg_opportunity,total_touches,yards_per_touch,passing_efficiency,catch_rate,yards_per_target,points_per_game,opportunity_share
ALLEN LAZARD,2024,WR,12,126.0,61,0,530.0,0.0,37,6,0,0.0,0,0.0,NYJ,Allen Lazard,ALLEN LAZARD_WR,120.30001068115234,70.0,0.6666666666666666,109.65056610107422,2.089918613433838,3,40,70.66666666666667,0.0,0.0,0.0,0.6065573770491803,8.688524590163935,10.5,61
ALLEN ROBINSON,2024,WR,6,6.0,7,0,30.0,0.0,3,0,0,0.0,0,0.0,DET,Allen Robinson,ALLEN ROBINSON_WR,52.0333366394043,37.0,0.0,-90.79754638671875,1.2671010494232178,3,32,37.0,0.0,0.0,0.0,0.42857142857142855,4.285714285714286,1.0,7
ALVIN KAMARA,2024,RB,14,265.3,89,228,543.0,950.0,68,2,6,0.0,0,0.0,NO,Alvin Kamara,ALVIN KAMARA_RB,236.6666717529297,84.0,210.33333333333334,13.862655639648438,8.76950454711914,3,42,294.33333333333337,317.0,4.709779262542725,0.0,0.0,0.0,18.949999128069198,317
AMARI COOPER,2024,WR,16,132.8,93,0,588.0,0.0,50,4,0,0.0,0,0.0,BUF,Amari Cooper,AMARI COOPER_WR,205.23333740234375,119.33333333333333,0.0,-43.942588806152344,3.2631676197052,3,49,119.33333333333333,0.0,0.0,0.0,0.5376344086021505,6.32258064516129,8.300000190734863,93
AMEER ABDULLAH,2024,RB,13,125.2,47,66,261.0,311.0,40,3,2,0.0,0,0.0,LV,Ameer Abdullah,AMEER ABDULLAH_RB,73.4333267211914,34.333333333333336,28.333333333333332,205.3658447265625,1.6207867860794067,3,42,62.66666666666667,113.0,5.061946868896484,0.0,0.0,0.0,9.63076899601863,113
AMONRA ST BROWN,2023,WR,19,386.5,198,5,1789.0,26.0,141,11,0,0.0,0,0.0,DET,Amon-Ra St. Brown,AMONRA ST BROWN_WR,327.04998779296875,172.0,7.0,44.431983947753906,3.889979124069214,2,35,179.0,0.0,0.0,0.0,0.7121212121212122,9.035353535353535,20.342105263157894,203
AMONRA ST BROWN,2024,QB,18,337.88,151,2,1400.0,6.0,123,12,0,7.0,1,0.0,DET,Amon-Ra St. Brown,AMONRA ST BROWN_QB,337.8800048828125,151.0,2.0,0.0,0.0,1,18,153.0,0.0,0.0,142.85714285714286,0.0,0.0,18.77111138237847,153
ANDRE BACCELLIA,2022,WR,5,11.5,10,0,45.0,0.0,7,0,0,0.0,0,0.0,ARI,Andre Baccellia,ANDRE BACCELLIA_WR,11.5,10.0,0.0,0.0,0.0,1,5,10.0,0.0,0.0,0.0,0.7,4.5,2.3,10
ANDREI IOSIVAS,2024,WR,17,119.9,61,0,479.0,0.0,36,6,0,0.0,0,0.0,CIN,Andrei Iosivas,ANDREI IOSIVAS_WR,85.25,43.0,0.0,136.95654296875,1.739707112312317,2,26,43.0,0.0,0.0,0.0,0.5901639344262295,7.852459016393443,7.052941266228171,61
ANDREW BECK,2022,TE,8,11.9,11,2,69.0,0.0,5,0,0,0.0,0,0.0,DEN,Andrew Beck,ANDREW BECK_TE,11.899999618530273,11.0,2.0,0.0,0.0,1,8,13.0,0.0,0.0,0.0,0.45454545454545453,6.2727272727272725,1.4874999523162842,13
ANDREW OGLETREE,2024,TE,11,25.9,14,0,109.0,0.0,9,1,0,0.0,0,0.0,IND,Andrew Ogletree,ANDREW OGLETREE_TE,30.799999237060547,17.5,0.0,-27.45098114013672,4.444670677185059,2,21,17.5,0.0,0.0,0.0,0.6428571428571429,7.785714285714286,2.3545454198663887,14
ANDY DALTON,2024,QB,6,58.96,0,11,0.0,34.0,0,0,0,989.0,7,6.0,CAR,Andy Dalton,ANDY DALTON_QB,85.61333465576172,0.0,14.666666666666666,149.40777587890625,1.0870370864868164,3,22,14.666666666666666,0.0,0.0,7.077856420626896,0.0,0.0,9.826666514078775,11
ANTHONY BROWN,2022,QB,2,5.58,0,3,0.0,-5.0,0,0,0,302.0,0,2.0,BAL,Anthony Brown,ANTHONY BROWN_QB,5.579999923706055,0.0,3.0,0.0,0.0,1,2,3.0,0.0,0.0,0.0,0.0,0.0,2.7899999618530273,3
ANTHONY FIRKSER,2023,TE,1,1.8,1,0,8.0,0.0,1,0,0,0.0,0,0.0,DET,Anthony Firkser,ANTHONY FIRKSER_TE,10.399999618530273,7.0,0.0,-90.52632141113281,0.8551058769226074,2,9,7.0,0.0,0.0,0.0,1.0,8.0,1.7999999523162842,1
ANTHONY GOULD,2024,WR,1,3.3,1,0,23.0,0.0,1,0,0,0.0,0,0.0,IND,Anthony Gould,ANTHONY GOULD_WR,3.299999952316284,1.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,1.0,23.0,3.299999952316284,1
ANTHONY MCFARLAND,2023,RB,1,3.1,2,0,11.0,0.0,2,0,0,0.0,0,0.0,PIT,Anthony McFarland,ANTHONY MCFARLAND_RB,4.599999904632568,2.0,3.0,-49.180328369140625,2.1684608459472656,2,2,5.0,2.0,5.5,0.0,0.0,0.0,3.0999999046325684,2
ANTHONY MILLER,2024,WR,3,9.4,5,0,44.0,0.0,5,0,0,0.0,0,0.0,BAL,Anthony Miller,ANTHONY MILLER_WR,9.399999618530273,5.0,0.0,0.0,0.0,1,3,5.0,0.0,0.0,0.0,1.0,8.8,3.133333206176758,5
ANTHONY RICHARDSON,2024,QB,11,163.36,1,86,-1.0,499.0,1,0,6,1814.0,8,12.0,IND,Anthony Richardson,ANTHONY RICHARDSON_QB,118.02000427246094,0.5,55.5,124.76609802246094,1.8405985832214355,2,15,56.0,0.0,0.0,4.410143329658214,0.0,0.0,14.850909146395596,87
