player_id,name,position,recent_team,fantasy_points,fantasy_points_2024,passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receiving_tds,receptions,targets,week,games_played,avg_fantasy_points,avg_points,projected_fantasy_points,projected_points,avg_ppr_all_years,std_ppr_all_years,total_games,seasons_played,consistency_score,team,age,years_exp,draft_number,injury_status,adp
00-0035689,D.Knox,TE,BUF,41.6,67.6,0.0,0,0.0,0,356.0,1,26,39,17,17,2.4470587337718293,3.9764704984777115,41.599998474121094,67.5999984741211,6.2978263,4.503060110590105,46,3,0.18171707739037724,BUF,27.0,5,96.0,Healthy,999
00-0037327,S.Thompson,QB,MIA,7.88,7.88,187.0,0,4.0,0,0.0,0,0,0,2,2,3.940000057220459,3.940000057220459,66.9800009727478,66.9800009727478,3.6440003,3.920746045389375,10,2,0.20322121702195478,MIA,27.0,2,247.0,Healthy,999
00-0036906,K.Herbert,RB,CHI,21.5,31.5,0.0,0,130.0,1,25.0,0,10,11,8,8,2.6875,3.9375,45.6875,66.9375,7.933333,7.446293822747052,33,3,0.11839512346904864,CIN,26.0,3,217.0,Healthy,999
00-0034386,J.Watson,WR,KC,44.9,66.9,0.0,0,0.0,0,289.0,2,22,32,17,17,2.641176560345818,3.9352942074046418,44.900001525878906,66.9000015258789,4.2799997,3.9243021995415948,55,3,0.2030744579593613,KC,28.0,6,144.0,Healthy,999
00-0039921,T.Benson,RB,ARI,41.0,47.0,0.0,0,291.0,1,59.0,0,6,6,12,12,3.4166666666666665,3.9166666666666665,58.08333333333333,66.58333333333333,3.9166667,3.761970761214417,12,1,0.2099970894707837,ARI,22.0,0,66.0,Healthy,999
00-0038498,E.Jenkins,TE,PHI,6.7,7.7,0.0,0,0.0,0,7.0,1,1,2,2,2,3.3499999046325684,3.8499999046325684,56.94999837875366,65.44999837875366,3.85,5.444722080266501,2,1,0.15516572903305836,PHI,25.0,1,,Healthy,999
00-0036984,T.Sermon,RB,IND,37.8,53.8,0.0,0,159.0,2,99.0,0,16,19,14,14,2.6999999455043246,3.8428570883614674,45.89999907357352,65.32857050214494,3.3043478,4.021812932269845,23,3,0.19913127260756064,IND,25.0,3,88.0,Healthy,999
00-0033045,E.Elliott,RB,DAL,45.5,57.5,0.0,0,226.0,3,69.0,0,12,15,15,15,3.033333333333333,3.8333333333333335,51.56666666666666,65.16666666666667,8.728572,6.21758268494915,49,3,0.13855054297961886,LAC,29.0,8,4.0,Healthy,999
00-0038115,D.Bellinger,TE,NYG,12.5,26.5,0.0,0,0.0,0,125.0,0,14,17,7,7,1.7857142857142858,3.7857142857142856,30.357142857142858,64.35714285714286,4.9424243,3.517636862038125,33,3,0.22135466628649111,NYG,23.0,2,112.0,Healthy,999
00-0038685,C.Brooks,RB,GB,32.1,45.1,0.0,0,183.0,1,78.0,0,13,16,12,12,2.6749998728434243,3.758333206176758,45.47499783833821,63.89166450500488,3.7133334,2.6169411339773614,15,2,0.27647671415109604,GB,24.0,1,,Healthy,999
00-0035639,P.Campbell,WR,PHI,9.0,15.0,0.0,0,0.0,0,30.0,1,6,8,4,4,2.25,3.75,38.25,63.75,6.706897,6.051737203885513,29,3,0.14180902819932076,PHI,27.0,5,59.0,Healthy,999
00-0038576,C.Jones,WR,CIN,6.5,7.5,0.0,0,0.0,0,5.0,0,1,1,2,2,3.25,3.75,55.25,63.75,4.0285716,3.0998463342269322,7,2,0.24391158069795324,CIN,25.0,1,131.0,Healthy,999
00-0039373,A.Estime,RB,DEN,43.7,48.7,0.0,0,310.0,2,27.0,0,5,5,13,13,3.361538520226112,3.7461539048414965,57.1461548438439,63.68461638230544,3.7461538,3.308981547582164,13,1,0.23207340039808605,DEN,20.0,0,147.0,Healthy,999
00-0038678,J.Mims,RB,NO,14.1,26.1,0.0,0,70.0,0,71.0,0,12,18,7,7,2.0142857687813893,3.7285714830671037,34.24285806928362,63.38571521214077,3.2625,2.8505324894403916,8,2,0.2597043403067955,NO,25.0,1,,Healthy,999
00-0039810,J.Burton,WR,CIN,10.7,14.7,0.0,0,0.0,0,107.0,0,4,14,4,4,2.674999952316284,3.674999952316284,45.47499918937683,62.47499918937683,3.675,2.0105968794488183,4,1,0.3321600466758873,CIN,23.0,0,80.0,Healthy,999
00-0038040,Z.White,RB,LV,23.3,29.3,0.0,0,183.0,1,30.0,0,6,8,8,8,2.9124999046325684,3.6624999046325684,49.51249837875366,62.26249837875366,3.4437501,4.975030452416501,32,3,0.16736316374681684,LV,24.0,2,122.0,Healthy,999
00-0039391,K.Vidal,RB,LAC,27.7,32.7,0.0,0,155.0,0,62.0,1,5,9,9,9,3.077777862548828,3.6333334181043835,52.32222366333008,61.76666810777452,3.6333334,3.6908672138883962,9,1,0.213180197691222,LAC,23.0,0,181.0,Healthy,999
00-0038783,N.Adkins,TE,DEN,29.5,43.5,0.0,0,0.0,0,115.0,3,14,15,12,12,2.4583333333333335,3.625,41.79166666666667,61.625,3.10625,2.777641385529649,16,2,0.2647154395942731,DEN,25.0,1,,Healthy,999
00-0036919,K.Gainwell,RB,PHI,53.4,72.4,0.0,0,332.0,1,142.0,0,19,25,20,20,2.6700000762939453,3.6200000762939455,45.39000129699707,61.540001296997076,5.2207017,3.875140495847598,57,3,0.20512229357323145,PHI,25.0,3,150.0,Healthy,999
00-0033246,J.Mundt,TE,MIN,29.0,50.0,0.0,0,0.0,0,170.0,2,21,30,14,14,2.0714285714285716,3.5714285714285716,35.214285714285715,60.714285714285715,3.551351,2.999224087599368,37,3,0.2500485039337404,MIN,29.0,7,,Healthy,999
00-0038821,R.Jarrett,WR,TB,12.400001,21.4,0.0,0,0.0,0,124.0,0,9,11,6,6,2.066666762034098,3.566666603088379,35.13333495457967,60.63333225250244,2.6166666,2.4319215879315847,12,2,0.2913819486775334,TB,23.0,1,,Healthy,999
00-0039052,T.Palmer,WR,TB,23.2,35.2,0.0,0,0.0,0,172.0,1,12,22,10,10,2.3200000762939452,3.5200000762939454,39.44000129699707,59.84000129699707,5.158621,3.978290853425349,29,2,0.2008721526007149,TB,23.0,1,191.0,Healthy,999
00-0036232,H.Bryant,TE,LV,8.6,17.6,0.0,0,0.0,0,86.0,0,9,12,5,5,1.7200000762939454,3.5200000762939454,29.24000129699707,59.84000129699707,3.8696969,3.6949699391615303,33,3,0.212993909004365,LV,26.0,4,115.0,Healthy,999
00-0039041,E.Higgins,TE,ARI,29.2,49.2,0.0,0,0.0,0,172.0,2,20,24,14,14,2.085714340209961,3.5142857687813893,35.457143783569336,59.74285806928362,3.7173913,3.1613650398086435,23,2,0.2403057627566324,ARI,23.0,1,197.0,Healthy,999
00-0037741,J.Dotson,WR,PHI,34.2,56.2,0.0,0,13.0,0,269.0,1,22,38,16,16,2.137500047683716,3.512500047683716,36.33750081062317,59.71250081062317,6.9244447,6.67526483297985,45,3,0.13028866387816346,PHI,24.0,2,16.0,Healthy,999
00-0031549,N.Agholor,WR,BAL,37.6,52.6,0.0,0,0.0,0,256.0,2,15,31,15,15,2.506666564941406,3.506666564941406,42.6133316040039,59.6133316040039,5.0851064,5.221443136146802,47,3,0.16073441131205798,BAL,31.0,9,20.0,Healthy,999
00-0036754,B.Wright,TE,DET,22.0,35.0,0.0,0,0.0,0,100.0,2,13,16,10,10,2.2,3.5,37.400000000000006,59.5,4.08125,3.902806017849067,32,3,0.20396483082533107,DET,25.0,3,,Healthy,999
00-0038102,K.Pickett,QB,PHI,24.44,24.44,291.0,2,8.0,1,0.0,0,0,0,7,7,3.491428647722517,3.491428647722517,59.354287011282786,59.354287011282786,8.890625,5.756170241809102,32,3,0.14801284813868598,PHI,26.0,2,20.0,Healthy,999
00-0037132,B.Covey,WR,PHI,3.4,10.4,0.0,0,0.0,0,34.0,0,7,8,3,3,1.1333333651224773,3.4666665395100913,19.266667207082115,58.933331171671554,3.72,3.5088460305162883,5,2,0.22178623825961394,PHI,27.0,2,,Healthy,999
00-0033854,D.Ogunbowale,RB,HOU,38.399998,58.4,0.0,0,126.0,0,198.0,1,20,29,17,17,2.2588233947753906,3.4352942074046418,38.39999771118164,58.400001525878906,3.3542857,3.905753088764478,35,3,0.20384230145831733,HOU,30.0,7,,Healthy,999
00-0038573,D.Davis,WR,LAC,27.2,41.2,0.0,0,36.0,0,116.0,2,14,18,12,12,2.2666667302449546,3.433333396911621,38.53333441416423,58.36666774749756,3.0346155,2.9643134287365864,26,2,0.2522504887608487,LAC,23.0,1,125.0,Healthy,999
00-0039912,B.Sinnott,TE,WAS,11.1,17.1,0.0,0,0.0,0,51.0,1,6,6,5,5,2.220000076293945,3.4200000762939453,37.740001296997065,58.14000129699707,3.42,2.991153785969107,5,1,0.2505541138293137,WAS,22.0,0,53.0,Healthy,999
00-0034054,R.Cracraft,WR,MIA,6.6,13.6,0.0,0,0.0,0,66.0,0,7,9,4,4,1.649999976158142,3.4000000953674316,28.049999594688416,57.80000162124634,4.0631576,3.6919147030489454,19,3,0.21313260433958234,MIA,29.0,7,,Healthy,999
00-0038454,K.Mitchell,RB,BAL,5.8,6.8,0.0,0,30.0,0,28.0,0,1,1,2,2,2.9000000953674316,3.4000000953674316,49.30000162124634,57.80000162124634,8.522222,6.113668598485101,9,2,0.14057444287086357,BAL,22.0,1,,Healthy,999
00-0037231,K.Austin,WR,NO,16.0,27.0,0.0,0,9.0,0,151.0,0,11,22,8,8,2.0,3.375,34.0,57.375,3.375,1.9285449669173038,8,1,0.3414665000184844,NO,24.0,2,,Healthy,999
00-0038558,D.Washington,TE,PIT,26.9,46.9,0.0,0,0.0,0,209.0,1,20,28,14,14,1.9214285441807337,3.3500001089913503,32.66428525107247,56.95000185285296,2.6086957,2.161630894586531,23,2,0.3162924558057171,PIT,23.0,1,93.0,Healthy,999
00-0033576,E.Saubert,TE,SF,15.7,26.699999,0.0,0,0.0,0,97.0,1,11,14,8,8,1.962499976158142,3.3374998569488525,33.362499594688416,56.73749756813049,3.0318182,2.9245083029090515,22,3,0.25480899078713826,SF,30.0,7,174.0,Healthy,999
00-0039066,M.Mayer,TE,LV,15.6,36.6,0.0,0,0.0,0,156.0,0,21,32,11,11,1.4181818528608843,3.327272588556463,24.10909149863503,56.56363400545987,4.695652,4.246011818575633,23,2,0.1906209964032285,LV,23.0,1,35.0,Healthy,999
