name,position,fantasy_points_target,weighted_historical_avg,consistency_score,performance_trend,seasons_played,total_career_points,games_played,targets,carries
B.Means,WR,26.8,26.8,0.5,0.0,1,26.8,,15.0,
B.Melton,WR,25.1,25.1,0.5,0.0,1,25.1,,20.0,
B.NIX,WR,,,,,2,,16.0,22.0,73.0
B.Nix,QB,331.26,331.26,0.5,0.0,1,331.26,,1.0,
B.Oliver,WR,15.5,15.5,0.5,0.0,1,15.5,,9.0,
B.PURDY,WR,,,,,2,,16.0,1.0,51.0
B.Powell,WR,14.1,14.1,0.5,0.0,1,14.1,,10.0,
B.Purdy,QB,266.86002,266.86002,0.5,0.0,1,266.86002,,0.0,
B.ROBINSON,WR,,,,,2,,16.0,12.0,125.0
B.Robinson,RB,190.9,266.3,0.013089005235602096,-0.44003501604902245,16,4260.8,,30.0,
B.STRANGE,WR,,,,,2,,16.0,50.0,0.0
B.Sims,TE,8.200001,8.200001,0.5,0.0,1,8.200001,,5.0,
B.Sinnott,TE,17.1,17.1,0.5,0.0,1,17.1,,6.0,
B.Skowronek,WR,11.9,11.9,0.5,0.0,1,11.9,,5.0,
B.Spann-Ford,TE,17.8,17.8,0.5,0.0,1,17.8,,14.0,
B.Strange,TE,91.1,91.1,0.5,0.0,1,91.1,,53.0,
B.THOMAS,WR,,,,,2,,16.0,94.0,4.0
B.Thomas,WR,284.0,284.0,0.5,0.0,1,284.0,,133.0,
B.Tremayne,WR,0.8,0.8,0.5,0.0,1,0.8,,1.0,
B.WRIGHT,WR,,,0.5,0.0,1,,16.0,11.0,0.0
B.Watson,RB,3.3,3.3,0.5,0.0,1,3.3,,2.0,
B.Whiteheart,TE,17.1,17.1,0.5,0.0,1,17.1,,9.0,
B.Wright,TE,35.0,35.0,0.5,0.0,1,35.0,,16.0,
B.YOUNG,WR,,,,,2,,16.0,5.0,32.0
B.Young,QB,195.02,195.02,0.5,0.0,1,195.02,,0.0,
B.Zappe,QB,7.0,7.0,0.5,0.0,1,7.0,,0.0,
BAL DST,DST,5.9,5.9,0.5,0.0,1,5.9,,,
BEAUX COLLINS,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
BENJAMIN YUROSEK,TE,0.0,0.0,0.5,0.0,1,0.0,,0.0,
BHAYSHUL TUTEN,RB,0.0,0.0,0.5,0.0,1,0.0,,0.0,
BRADY COOK,QB,0.0,0.0,0.5,0.0,1,0.0,,0.0,
