player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0026544,2022,REG,8,12,52.0,1,0.0,1.0,1.0,0,0,17.0,63.0,4.0,1.3760408995098574,1,0.5681818181818182,0.09171369292221042,1,4.0,0,0.0,0.0,0.0,-0.8076155539602041,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.48,8.48,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030523360449211723
00-0026625,2022,REG,5,6,37.0,0,0.0,1.0,8.0,0,0,28.0,22.0,2.0,-2.126523873504231,0,1.3214285714285714,0.10188964638643827,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.48,1.48,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022860673463083098
00-0027688,2022,REG,90,132,780.0,1,3.0,13.0,97.0,0,0,801.0,368.0,34.0,-30.083980903608307,0,3.8908957382959612,0.15659972255971372,14,36.0,0,2.0,0.0,5.0,1.2108905086566115,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,32.8,32.8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11114123068582271
00-0027942,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,24,47,236.0,2,0.0,0.0,515.0,56.0,11.0,-18.072922513070267,1,5.44328614340205,1.2515995447034682,2.028203304935349,3.2971416305099464,0.0,37.6,61.6,13,0.09003831417624521,0.14136700521548173,0.03398058252427184,0.24815107543675322,0.07470718581829693,0.16666666666666666,0.07142857142857142,0.0783132530120482,0.12068692624248178,0.09309908198797087,0.4521072796934866,0.05722992307406444
00-0027944,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,45.0,0,0.0,0.0,4.0,3.1908539203577675,0,24,43,299.0,2,0.0,0.0,603.0,114.0,13.0,7.485836521878732,0,4.970211174089011,1.0368018046890182,1.9982388025080835,2.9539698687891858,0.0,46.4,70.4,10,0.09429824561403509,0.19539857420609202,0.07579787234042554,0.29776622778592626,0.10125296308838469,0.11764705882352941,0.087248322147651,0.09036144578313253,0.10945001095595705,0.10453178223541364,0.6557017543859649,0.07207059642513462
00-0027948,2022,REG,6,8,29.0,1,0.0,0.0,0.0,0,0,20.0,37.0,2.0,0.2152441979269497,0,1.45,0.07338804154963942,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.16,5.16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07628622117090479
00-0027966,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,62,233.0,1,1.0,1.0,12.0,-11.029762006073724,1,16,18,68.0,0,1.0,1.0,-17.0,78.0,2.0,-8.766475274111144,0,-7.333333333333332,0.5633644727175583,-0.051078725634328956,0.8092916011323071,0.0,34.1,50.1,10,0.052478134110787174,-0.005426109160548994,0.0783132530120482,0.07437631383774157,0.02640776699029126,0.0,0.017241379310344827,0.015267175572519083,0.01320388349514563,0.02112621359223301,0.19825072886297376,0.05633011018664268
00-0027973,2022,REG,252,378,2871.0,18,9.0,25.0,189.0,4,1,2981.0,1318.0,135.0,17.990597040069932,1,14.018657302853672,1.185450478577533,30,54.0,0,1.0,0.0,6.0,-8.735762504770781,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,174.24,174.24,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15822164105916967
00-0027981,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,5,28.0,1,0.0,0.0,44.0,3.0,2.0,1.939216998172924,0,3.6,0.11994588744588744,0.17081971313468533,0.2994926303631109,0.0,8.8,11.8,5,0.02262443438914027,0.030683403068340307,0.004137931034482759,0.05848337403838265,0.02039329934450109,0.2,0.029850746268656716,0.041666666666666664,0.11019664967225055,0.05631463947560088,0.12669683257918551,0.027691730029099786
00-0028002,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,34,50,417.0,1,1.0,0.0,475.0,185.0,19.0,22.56483781379832,0,17.106273650701834,1.550428792332817,1.9515429347962694,3.6917232428566145,0.0,47.7,81.7,13,0.11494252873563218,0.1397881106533255,0.11620603015075377,0.2842442816261087,0.14002686366689054,0.05263157894736842,0.12751677852348994,0.11904761904761904,0.09632922130712948,0.12254780672298612,0.9586206896551724,0.07445412459446653
