player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,data_year
00-0026544,2022,REG,8,12,52.0,1,0.0,1.0,1.0,0,0,17.0,63.0,4.0,1.3760408995098574,1,0.5681818181818182,0.0917136929222104,1,4.0,0,0.0,0.0,0.0,-0.8076155539602041,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.48,8.48,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305233604492117,2022
00-0026625,2022,REG,5,6,37.0,0,0.0,1.0,8.0,0,0,28.0,22.0,2.0,-2.126523873504231,0,1.3214285714285714,0.1018896463864382,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.48,1.48,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022860673463083,2022
00-0027688,2022,REG,90,132,780.0,1,3.0,13.0,97.0,0,0,801.0,368.0,34.0,-30.083980903608307,0,3.890895738295961,0.1565997225597137,14,36.0,0,2.0,0.0,5.0,1.2108905086566115,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,32.8,32.8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111412306858227,2022
00-0027942,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,24,47,236.0,2,0.0,0.0,515.0,56.0,11.0,-18.072922513070267,1,5.44328614340205,1.2515995447034682,2.028203304935349,3.2971416305099464,0.0,37.6,61.6,13,0.0900383141762452,0.1413670052154817,0.0339805825242718,0.2481510754367532,0.0747071858182969,0.1666666666666666,0.0714285714285714,0.0783132530120482,0.1206869262424817,0.0930990819879708,0.4521072796934866,0.0572299230740644,2022
00-0027944,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,45.0,0,0.0,0.0,4.0,3.1908539203577675,0,24,43,299.0,2,0.0,0.0,603.0,114.0,13.0,7.485836521878732,0,4.970211174089011,1.0368018046890182,1.9982388025080835,2.9539698687891858,0.0,46.4,70.4,10,0.094298245614035,0.195398574206092,0.0757978723404255,0.2977662277859262,0.1012529630883846,0.1176470588235294,0.087248322147651,0.0903614457831325,0.109450010955957,0.1045317822354136,0.6557017543859649,0.0720705964251346,2022
00-0027948,2022,REG,6,8,29.0,1,0.0,0.0,0.0,0,0,20.0,37.0,2.0,0.2152441979269497,0,1.45,0.0733880415496394,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.16,5.16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0762862211709047,2022
00-0027966,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,62,233.0,1,1.0,1.0,12.0,-11.029762006073724,1,16,18,68.0,0,1.0,1.0,-17.0,78.0,2.0,-8.766475274111144,0,-7.333333333333332,0.5633644727175583,-0.0510787256343289,0.8092916011323071,0.0,34.1,50.1,10,0.0524781341107871,-0.0054261091605489,0.0783132530120482,0.0743763138377415,0.0264077669902912,0.0,0.0172413793103448,0.015267175572519,0.0132038834951456,0.021126213592233,0.1982507288629737,0.0563301101866426,2022
00-0027973,2022,REG,252,378,2871.0,18,9.0,25.0,189.0,4,1,2981.0,1318.0,135.0,17.990597040069932,1,14.018657302853672,1.185450478577533,30,54.0,0,1.0,0.0,6.0,-8.735762504770781,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,174.24,174.24,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1582216410591696,2022
00-0027981,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,5,28.0,1,0.0,0.0,44.0,3.0,2.0,1.939216998172924,0,3.6,0.1199458874458874,0.1708197131346853,0.2994926303631109,0.0,8.8,11.8,5,0.0226244343891402,0.0306834030683403,0.0041379310344827,0.0584833740383826,0.020393299344501,0.2,0.0298507462686567,0.0416666666666666,0.1101966496722505,0.0563146394756008,0.1266968325791855,0.0276917300290997,2022
00-0028002,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,34,50,417.0,1,1.0,0.0,475.0,185.0,19.0,22.56483781379832,0,17.106273650701834,1.550428792332817,1.9515429347962692,3.6917232428566154,0.0,47.7,81.7,13,0.1149425287356321,0.1397881106533255,0.1162060301507537,0.2842442816261087,0.1400268636668905,0.0526315789473684,0.1275167785234899,0.119047619047619,0.0963292213071294,0.1225478067229861,0.9586206896551724,0.0744541245944665,2022
