player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0028002,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,17,39.0,1,0.0,0.0,165.0,23.0,3.0,-15.467470429737629,1,8.833333333333334,0.5739549339549339,0.7200663087492573,1.3649788170568808,0.0,11.9,16.9,9,0.06159420289855073,0.08164275111331024,0.029754204398447608,0.1577055052384743,0.024314214463840397,0.16666666666666666,0.03896103896103896,0.04819277108433735,0.09549044056525352,0.05278470490440565,0.14130434782608695,0.029818618109958357
00-0028118,2023,REG,116,180,1341.0,5,3.0,17.0,94.0,2,0,1541.0,578.0,52.0,2.116015696653961,0,6.960946885779897,0.7737828506503619,38,197.0,0,2.0,0.0,10.0,-0.41283654625414945,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,87.34,87.34,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13339646271802547
00-0028872,2023,REG,1,1,7.0,0,0.0,0.0,0.0,0,0,-4.0,11.0,0.0,-1.9410884017124772,0,0.0,0.0,1,-11.0,0,1.0,1.0,0.0,-6.053601038409397,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-2.8200000000000003,-2.8200000000000003,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021569527306103717
00-0028986,2023,REG,34,53,291.0,1,3.0,6.0,60.0,0,0,377.0,146.0,14.0,-20.65132938160174,0,1.44357153106615,0.040419039095312914,2,1.0,0,1.0,0.0,0.0,-1.650933435827028,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.74,9.74,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05846338535414165
00-0029239,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,31.0,1,0.0,0.0,2.0,3.6790279943379574,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.1,11.1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041350022351363425
00-0029263,2023,REG,297,447,3070.0,26,8.0,45.0,258.0,7,4,3189.0,1735.0,135.0,-16.336197524169002,2,15.711004444947886,1.5927855881814104,80,341.0,3,3.0,1.0,38.0,17.56566172705452,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,256.90000000000003,256.90000000000003,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21865690697080603
00-0029293,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,10,35.0,0,1.0,1.0,80.0,9.0,2.0,-5.426966988511735,0,2.4541176470588235,0.32300135501355015,0.39556598486011285,0.7613982219224041,0.0,1.5000000000000002,6.5,4,0.07407407407407407,0.09445100354191263,0.018072289156626505,0.18667191394464122,0.03326996197718631,0.0,0.04081632653061224,0.03571428571428571,0.016634980988593156,0.02661596958174905,0.25925925925925924,0.01628746116066954
00-0029604,2023,REG,216,311,2331.0,18,5.0,17.0,110.0,4,3,2252.0,996.0,112.0,37.10304547110406,0,8.48299432724033,1.0611103338147516,14,25.0,0,2.0,1.0,6.0,1.6873686246108264,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,149.74,149.74,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19518744460086554
00-0029692,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01965795164143896
00-0029701,2023,REG,149,230,1616.0,4,7.0,32.0,230.0,2,0,1816.0,795.0,74.0,-22.866367662793895,0,9.232990047569839,0.787401731257854,17,74.0,1,1.0,0.0,4.0,-4.0678950850560796,0,0,1,0.0,0,0.0,0.0,-1.0,0.0,0.0,-0.4180150681640953,0,0.0,0.038461538461538464,-0.006578947368421052,0.05308704453441296,0.0,80.03999999999999,80.03999999999999,9,0.004081632653061225,-0.0005032712632108706,0.0,0.005719831969023141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13452100840336134
00-0029764,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06612298875909191
