player_id,player_name,position,season,week,recent_team,hist_games_played,hist_avg_passing_yards,hist_avg_passing_tds,hist_avg_interceptions,hist_avg_rushing_yards,hist_avg_rushing_tds,hist_avg_receiving_yards,hist_avg_receiving_tds,hist_avg_receptions,hist_avg_targets,hist_avg_carries,hist_std_fantasy_points,hist_max_fantasy_points,hist_min_fantasy_points,recent_avg_fantasy_points,recent_vs_season_trend,recent5_avg_fantasy_points,recent5_std_fantasy_points,weighted_avg_fantasy_points,eff_yards_per_target,eff_yards_per_carry,rate_receiving_td,rate_rushing_td,rate_pass_td_to_int,target_fantasy_points
00-0036415,V.Jefferson,WR,2023,10,ATL,17,0.0,0.0,0.0,0.23529411764705882,0.0,18.647058823529413,0.11764705882352941,1.7647058823529411,3.4705882352941178,0.058823529411764705,3.630437098947145,11.7,0.0,3.9,-0.4588235294117644,4.859999999999999,5.669920634365176,4.4190476190476184,5.372881355932203,4.0,0.06666666666666667,0.0,1.0,0.0
00-0036415,V.Jefferson,WR,2024,11,PIT,18,0.0,0.0,0.0,0.2222222222222222,0.0,17.61111111111111,0.1111111111111111,1.6666666666666667,3.3333333333333335,0.05555555555555555,3.6688273491194785,11.7,0.0,3.9,-0.21666666666666634,2.82,5.071686110160998,4.218181818181819,5.283333333333333,4.0,0.06666666666666667,0.0,1.0,0.0
00-0036415,V.Jefferson,WR,2022,11,LA,19,0.0,0.0,0.0,0.21052631578947367,0.0,16.68421052631579,0.10526315789473684,1.5789473684210527,3.210526315789474,0.05263157894736842,3.688420318299481,11.7,0.0,0.0,-3.9,2.34,5.232399067349507,3.9211267605633804,5.19672131147541,4.0,0.06666666666666667,0.0,1.0,7.1000000000000005
00-0036415,V.Jefferson,WR,2022,12,LA,20,0.0,0.0,0.0,0.2,0.0,17.9,0.1,1.65,3.3,0.05,3.660658554499665,11.7,0.0,2.3666666666666667,-1.693333333333333,3.7600000000000002,5.399351812949403,4.008219178082193,5.424242424242424,4.0,0.06060606060606061,0.0,1.0,11.9
00-0036415,V.Jefferson,WR,2023,12,ATL,21,0.0,0.0,0.0,0.19047619047619047,0.0,18.428571428571427,0.14285714285714285,1.7142857142857142,3.4285714285714284,0.047619047619047616,3.9569348406731866,11.9,0.0,6.333333333333333,1.9000000000000004,3.8,5.4731161142442435,4.2186666666666675,5.375,4.0,0.08333333333333333,0.0,1.0,2.3
00-0036415,V.Jefferson,WR,2024,12,PIT,22,0.0,0.0,0.0,0.18181818181818182,0.0,18.181818181818183,0.13636363636363635,1.6818181818181819,3.3636363636363638,0.045454545454545456,3.888266286999222,11.9,0.0,7.1000000000000005,2.7636363636363646,4.26,5.161685771141053,4.144871794871794,5.405405405405405,4.0,0.08108108108108109,0.0,1.0,5.9
00-0036415,V.Jefferson,WR,2022,13,LA,23,0.0,0.0,0.0,0.17391304347826086,0.0,19.08695652173913,0.13043478260869565,1.6956521739130435,3.3043478260869565,0.043478260869565216,3.81283457677899,11.9,0.0,6.7,2.2956521739130435,5.44,4.5867199609306875,4.250602409638554,5.776315789473684,4.0,0.07692307692307693,0.0,1.0,5.9
00-0036415,V.Jefferson,WR,2024,13,PIT,24,0.0,0.0,0.0,0.16666666666666666,0.0,19.916666666666668,0.125,1.7083333333333333,3.3333333333333335,0.041666666666666664,3.7415024495127813,11.9,0.0,4.7,0.2333333333333325,6.62,3.4571664698131044,4.289411764705882,5.975,4.0,0.07317073170731707,0.0,1.0,5.3
00-0036415,V.Jefferson,WR,2024,14,PIT,25,0.0,0.0,0.0,0.16,0.0,20.84,0.12,1.68,3.32,0.04,3.6665151483845437,11.9,0.0,5.7,1.1999999999999993,6.26,3.488266044899672,4.345555555555555,6.27710843373494,4.0,0.07142857142857142,0.0,1.0,8.0
00-0036415,V.Jefferson,WR,2022,14,LA,26,0.0,0.0,0.0,0.15384615384615385,0.0,20.423076923076923,0.15384615384615385,1.6538461538461537,3.230769230769231,0.038461538461538464,3.6574244826317117,11.9,0.0,6.3999999999999995,1.7653846153846144,5.4799999999999995,2.0523157651784483,4.537894736842106,6.321428571428571,4.0,0.09302325581395349,0.0,1.0,12.4
00-0036415,V.Jefferson,WR,2023,15,ATL,27,0.0,0.0,0.0,0.14814814814814814,0.0,21.296296296296298,0.18518518518518517,1.6666666666666667,3.259259259259259,0.037037037037037035,3.885310930368511,12.4,0.0,8.566666666666668,3.6444444444444457,7.5,2.924893160441933,4.700000000000001,6.534090909090909,4.0,0.1111111111111111,0.0,1.0,0.0
00-0036415,V.Jefferson,WR,2024,15,PIT,28,0.0,0.0,0.0,0.14285714285714285,0.0,20.535714285714285,0.17857142857142858,1.6071428571428572,3.1785714285714284,0.03571428571428571,3.9245176295104884,12.4,0.0,6.8,2.053571428571428,6.32,4.498555323656696,4.559,6.46067415730337,4.0,0.1111111111111111,0.0,1.0,1.0
00-0036415,V.Jefferson,WR,2022,15,LA,29,0.0,0.0,0.0,0.13793103448275862,0.0,19.82758620689655,0.1724137931034483,1.5862068965517242,3.1379310344827585,0.034482758620689655,3.9160903394582243,12.4,0.0,4.466666666666667,-0.15057471264367805,5.340000000000001,5.105683108066931,4.38952380952381,6.318681318681318,4.0,0.10869565217391304,0.0,1.0,5.2
00-0036415,V.Jefferson,WR,2022,16,LA,30,0.0,0.0,0.0,0.13333333333333333,0.0,20.233333333333334,0.16666666666666666,1.6,3.1,0.03333333333333333,3.8494498785951343,12.4,0.0,2.066666666666667,-2.57,5.319999999999999,5.106074813396294,4.404672897196262,6.526881720430108,4.0,0.10416666666666667,0.0,1.0,4.9
00-0036415,V.Jefferson,WR,2023,16,ATL,31,0.0,0.0,0.0,0.12903225806451613,0.0,20.193548387096776,0.16129032258064516,1.6451612903225807,3.161290322580645,0.03225806451612903,3.785044139740638,12.4,0.0,3.7000000000000006,-0.9451612903225803,4.7,4.882622246293481,4.413761467889908,6.387755102040816,4.0,0.09803921568627451,0.0,1.0,2.3
00-0036415,V.Jefferson,WR,2024,16,PIT,32,0.0,0.0,0.0,0.125,0.0,19.96875,0.15625,1.625,3.15625,0.03125,3.7465024011650496,12.4,0.0,4.133333333333334,-0.4385416666666666,2.6800000000000006,2.314519388555646,4.357142857142857,6.326732673267327,4.0,0.09615384615384616,0.0,1.0,4.7
00-0036415,V.Jefferson,WR,2024,17,PIT,33,0.0,0.0,0.0,0.12121212121212122,0.0,20.181818181818183,0.15151515151515152,1.6363636363636365,3.1515151515151514,0.030303030303030304,3.6875661267825337,12.4,0.0,3.966666666666667,-0.6090909090909093,3.62,1.8646715528478468,4.371794871794872,6.403846153846154,4.0,0.09259259259259259,0.0,1.0,0.0
00-0036415,V.Jefferson,WR,2022,17,LA,34,0.0,0.0,0.0,0.11764705882352941,0.0,19.58823529411765,0.14705882352941177,1.588235294117647,3.088235294117647,0.029411764705882353,3.715089431368504,12.4,0.0,2.3333333333333335,-2.107843137254902,3.4200000000000004,2.2331591971912794,4.192622950819672,6.3428571428571425,4.0,0.09259259259259259,0.0,1.0,10.7
00-0036415,V.Jefferson,WR,2023,17,ATL,35,0.0,0.0,0.0,0.11428571428571428,0.0,21.228571428571428,0.14285714285714285,1.6285714285714286,3.085714285714286,0.02857142857142857,3.809878799986718,12.4,0.0,5.133333333333333,0.5133333333333328,4.5200000000000005,3.9914909495074644,4.297580645161291,6.87962962962963,4.0,0.08771929824561403,0.0,1.0,4.9
00-0036415,V.Jefferson,WR,2023,18,ATL,36,0.0,0.0,0.0,0.1111111111111111,0.0,21.166666666666668,0.1388888888888889,1.6666666666666667,3.138888888888889,0.027777777777777776,3.755347509969606,12.4,0.0,5.2,0.5722222222222229,4.5200000000000005,3.991490949507464,4.311811023622047,6.743362831858407,4.0,0.08333333333333333,0.0,1.0,3.3
00-0036415,V.Jefferson,WR,2022,18,LA,37,0.0,0.0,0.0,0.10810810810810811,0.0,20.945945945945947,0.13513513513513514,1.6756756756756757,3.135135135135135,0.02702702702702703,3.7092510758296675,12.4,0.0,6.3,1.7081081081081075,4.72,3.8758224933554426,4.288461538461538,6.681034482758621,4.0,0.08064516129032258,0.0,1.0,9.100000000000001
00-0036415,V.Jefferson,WR,2024,18,PIT,38,0.0,0.0,0.0,0.10526315789473684,0.0,22.0,0.13157894736842105,1.7105263157894737,3.236842105263158,0.02631578947368421,3.731153685338234,12.4,0.0,5.766666666666667,1.0561403508771932,5.6,4.341658669218482,4.361363636363636,6.796747967479675,4.0,0.07692307692307693,0.0,1.0,4.8
00-0036415,V.Jefferson,WR,2024,19,PIT,39,0.0,0.0,0.0,0.10256410256410256,0.0,21.897435897435898,0.1282051282051282,1.7435897435897436,3.2564102564102564,0.02564102564102564,3.681760125922289,12.4,0.0,5.733333333333334,1.0205128205128213,6.56,3.165122430491434,4.377372262773722,6.724409448818897,4.0,0.07352941176470588,0.0,1.0,11.7
00-0036422,A.Trautman,TE,2024,3,DEN,4,0.0,0.0,0.0,0.0,0.0,10.75,0.0,1.5,2.0,0.0,3.9852854351978353,8.4,0.0,0.6333333333333333,-1.9416666666666669,2.575,3.9852854351978353,2.230769230769231,5.375,0.0,0.0,0.0,1.0,2.3
00-0036422,A.Trautman,TE,2023,3,DEN,5,0.0,0.0,0.0,0.0,0.0,11.2,0.0,1.4,1.8,0.0,3.453548899320813,8.4,0.0,1.3999999999999997,-1.1200000000000008,2.5200000000000005,3.453548899320813,2.25,6.222222222222222,0.0,0.0,0.0,1.0,0.0
00-0036422,A.Trautman,TE,2023,4,DEN,6,0.0,0.0,0.0,0.0,0.0,9.333333333333334,0.0,1.1666666666666667,1.8333333333333333,0.0,3.255764119219941,8.4,0.0,1.3999999999999997,-0.7000000000000004,0.8399999999999999,1.1588787684654507,1.9285714285714288,5.090909090909091,0.0,0.0,0.0,1.0,0.0
00-0036422,A.Trautman,TE,2022,4,NO,7,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.7142857142857142,0.0,3.07625313219399,8.4,0.0,0.7666666666666666,-1.0333333333333337,0.8399999999999999,1.1588787684654507,1.6874999999999998,4.666666666666667,0.0,0.0,0.0,1.0,6.7
00-0036422,A.Trautman,TE,2024,5,DEN,8,0.0,0.0,0.0,0.0,0.0,11.625,0.0,1.25,1.875,0.0,3.3335684440893925,8.4,0.0,2.2333333333333334,-0.1791666666666667,2.1799999999999997,2.7398905087612535,2.073076923076923,6.2,0.0,0.0,0.0,1.0,2.9000000000000004
00-0036422,A.Trautman,TE,2023,5,DEN,9,0.0,0.0,0.0,0.0,0.0,12.444444444444445,0.0,1.2222222222222223,1.7777777777777777,0.0,3.1224989991991996,8.4,0.0,3.2000000000000006,0.7333333333333338,2.38,2.7508180601413827,2.206451612903226,7.0,0.0,0.0,0.0,1.0,12.6
00-0036422,A.Trautman,TE,2022,5,NO,10,0.0,0.0,0.0,0.0,0.0,13.8,0.1,1.5,2.1,0.0,4.351449311564035,12.6,0.0,7.400000000000001,3.920000000000001,4.44,5.326631205555722,3.1235294117647063,6.571428571428571,0.0,0.06666666666666667,0.0,1.0,11.2
00-0036422,A.Trautman,TE,2023,6,DEN,11,0.0,0.0,0.0,0.0,0.0,15.454545454545455,0.18181818181818182,1.5454545454545454,2.1818181818181817,0.0,4.739159879518348,12.6,0.0,8.9,4.718181818181819,6.6800000000000015,5.347616291395634,3.572222222222222,7.083333333333333,0.0,0.11764705882352941,0.0,1.0,1.4
00-0036422,A.Trautman,TE,2022,6,NO,12,0.0,0.0,0.0,0.0,0.0,14.5,0.16666666666666666,1.5,2.1666666666666665,0.0,4.5894146982733295,12.6,0.0,8.399999999999999,4.449999999999999,6.960000000000001,4.930821432580985,3.4051282051282046,6.6923076923076925,0.0,0.1111111111111111,0.0,1.0,1.8
00-0036422,A.Trautman,TE,2024,7,DEN,13,0.0,0.0,0.0,0.0,0.0,14.0,0.15384615384615385,1.4615384615384615,2.076923076923077,0.0,4.4343068142695,12.6,0.0,4.8,1.0153846153846153,5.9799999999999995,5.4545393939360265,3.3268292682926823,6.7407407407407405,0.0,0.10526315789473684,0.0,1.0,0.0
00-0036422,A.Trautman,TE,2023,7,DEN,14,0.0,0.0,0.0,0.0,0.0,13.0,0.14285714285714285,1.3571428571428572,2.142857142857143,0.0,4.378769961259254,12.6,0.0,1.0666666666666667,-2.447619047619047,5.3999999999999995,5.991660871578097,2.9652173913043476,6.066666666666666,0.0,0.10526315789473684,0.0,1.0,1.5
00-0036422,A.Trautman,TE,2024,8,DEN,15,0.0,0.0,0.0,0.0,0.0,12.466666666666667,0.13333333333333333,1.3333333333333333,2.1333333333333333,0.0,4.2514199308667955,12.6,0.0,1.0999999999999999,-2.2800000000000002,3.18,4.536738916887327,2.875510204081633,5.84375,0.0,0.1,0.0,1.0,18.5
00-0036422,A.Trautman,TE,2024,9,DEN,16,0.0,0.0,0.0,0.0,0.0,17.0,0.1875,1.5,2.25,0.0,5.581935148315502,18.5,0.0,6.666666666666667,2.3416666666666677,4.64,7.779010219815886,4.322222222222223,7.555555555555555,0.0,0.125,0.0,1.0,1.4
00-0036422,A.Trautman,TE,2022,9,NO,17,0.0,0.0,0.0,0.0,0.0,16.235294117647058,0.17647058823529413,1.4705882352941178,2.176470588235294,0.0,5.451045501444978,18.5,0.0,7.133333333333333,2.980392156862745,4.64,7.779010219815886,4.074576271186441,7.45945945945946,0.0,0.12,0.0,1.0,1.8
00-0036422,A.Trautman,TE,2022,10,NO,18,0.0,0.0,0.0,0.0,0.0,15.777777777777779,0.16666666666666666,1.4444444444444444,2.111111111111111,0.0,5.3172920524682326,18.5,0.0,7.233333333333333,3.2111111111111112,4.64,7.779010219815886,4.0,7.473684210526316,0.0,0.11538461538461539,0.0,1.0,4.2
00-0036422,A.Trautman,TE,2023,10,DEN,19,0.0,0.0,0.0,0.0,0.0,16.105263157894736,0.15789473684210525,1.4736842105263157,2.1578947368421053,0.0,5.167639976234472,18.5,0.0,2.466666666666667,-1.564912280701754,5.4799999999999995,7.368649808479162,4.006349206349206,7.463414634146342,0.0,0.10714285714285714,0.0,1.0,3.5
00-0036422,A.Trautman,TE,2024,10,DEN,20,0.0,0.0,0.0,0.0,0.0,16.05,0.15,1.5,2.15,0.0,5.031215715803425,18.5,0.0,3.1666666666666665,-0.8383333333333334,5.88,7.149615374270144,3.9833333333333325,7.465116279069767,0.0,0.1,0.0,1.0,4.4
00-0036422,A.Trautman,TE,2024,11,DEN,21,0.0,0.0,0.0,0.0,0.0,16.904761904761905,0.14285714285714285,1.4761904761904763,2.0952380952380953,0.0,4.904579978133169,18.5,0.0,4.033333333333334,0.009523809523810378,3.06,1.3813037319865606,4.0126760563380275,8.068181818181818,0.0,0.0967741935483871,0.0,1.0,0.0
00-0036422,A.Trautman,TE,2023,11,DEN,22,0.0,0.0,0.0,0.0,0.0,16.136363636363637,0.13636363636363635,1.4090909090909092,2.0454545454545454,0.0,4.862652528239049,18.5,0.0,2.6333333333333333,-1.2075757575757575,2.7800000000000002,1.8606450494385007,3.7486842105263154,7.888888888888889,0.0,0.0967741935483871,0.0,1.0,5.300000000000001
00-0036422,A.Trautman,TE,2022,11,NO,23,0.0,0.0,0.0,0.0,0.0,16.869565217391305,0.13043478260869565,1.434782608695652,2.0434782608695654,0.0,4.760584213658651,18.5,0.0,3.233333333333334,-0.6710144927536223,3.4800000000000004,2.0486580973896062,3.8075949367088606,8.25531914893617,0.0,0.09090909090909091,0.0,1.0,4.2
00-0036422,A.Trautman,TE,2022,12,NO,24,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.125,1.5,2.0833333333333335,0.0,4.656334317396284,18.5,0.0,3.1666666666666665,-0.75,3.4800000000000004,2.0486580973896062,3.8172839506172838,8.0,0.0,0.08333333333333333,0.0,1.0,2.7
00-0036422,A.Trautman,TE,2023,12,DEN,25,0.0,0.0,0.0,0.0,0.0,16.68,0.12,1.48,2.04,0.0,4.56478550061957,18.5,0.0,4.066666666666666,0.1986666666666661,3.3200000000000003,2.077739155909615,3.790361445783133,8.176470588235293,0.0,0.08108108108108109,0.0,1.0,7.8
00-0036422,A.Trautman,TE,2024,12,DEN,26,0.0,0.0,0.0,0.0,0.0,16.346153846153847,0.15384615384615385,1.4615384615384615,2.0,0.0,4.5385477175651,18.5,0.0,4.8999999999999995,0.8807692307692303,4.0,2.909467305195231,3.9302325581395348,8.173076923076923,0.0,0.10526315789473684,0.0,1.0,1.3
